Date,Open,High,Low,Close,Volume,Adj Close
2013-10-16,22.42,23.08,22.36,23.01,118000,23.01
2013-10-15,22.46,22.70,22.13,22.29,147300,22.29
2013-10-14,21.67,22.80,21.48,22.50,327700,22.50
2013-10-11,20.95,21.88,20.10,21.84,493800,21.84
2013-10-10,21.61,21.95,20.85,21.15,406100,21.15
2013-10-09,22.46,22.46,20.75,21.20,669400,21.20
2013-10-08,23.84,23.84,22.20,22.27,359000,22.27
2013-10-07,23.51,23.58,22.85,23.13,356800,23.13
2013-10-04,25.01,25.14,23.36,23.59,280100,23.59
2013-10-03,25.55,25.92,24.29,25.10,420200,25.10
2013-10-02,23.99,25.95,23.89,25.50,575300,25.50
2013-10-01,23.69,24.32,23.45,24.24,465300,24.24
2013-09-30,22.37,24.23,22.09,23.69,1052200,23.69
2013-09-27,22.40,23.60,22.40,23.01,467000,23.01
2013-09-26,22.50,22.78,22.11,22.62,443300,22.62
2013-09-25,21.53,22.27,21.25,22.12,1013000,22.12
2013-09-24,21.74,22.20,21.12,21.41,543300,21.41
2013-09-23,22.13,22.88,21.24,22.12,411500,22.12
2013-09-20,23.41,23.59,21.31,22.12,604700,22.12
2013-09-19,24.50,24.75,23.50,23.70,166000,23.70
2013-09-18,24.15,25.09,23.31,24.30,326800,24.30
2013-09-17,22.50,24.15,22.33,23.95,428400,23.95
2013-09-16,24.01,24.01,22.10,22.57,473600,22.57
2013-09-13,24.62,25.00,23.73,23.90,199000,23.90
2013-09-12,25.95,25.95,24.32,24.64,222900,24.64
2013-09-11,26.98,26.98,24.16,25.42,466800,25.42
2013-09-10,26.76,27.08,26.00,26.76,272300,26.76
2013-09-09,25.85,27.46,25.01,25.98,591500,25.98
2013-09-06,24.79,25.91,23.68,25.54,388800,25.54
2013-09-05,23.00,24.91,22.44,24.29,568500,24.29
2013-09-04,22.50,23.30,22.00,22.39,707700,22.39
2013-09-03,22.28,22.74,21.13,22.31,534200,22.31
2013-08-30,22.29,22.56,21.60,21.73,181200,21.73
2013-08-29,21.90,22.81,21.62,22.18,394100,22.18
2013-08-28,21.45,22.03,20.96,21.36,364100,21.36
2013-08-27,22.50,22.55,20.65,21.64,638400,21.64
2013-08-26,23.41,23.74,22.41,22.60,249500,22.60
2013-08-23,22.88,23.65,22.80,23.42,222000,23.42
2013-08-22,23.99,23.99,22.87,22.92,460000,22.92
2013-08-21,24.08,25.28,22.62,23.73,637200,23.73
2013-08-20,25.71,26.24,24.00,24.10,444400,24.10
2013-08-19,26.09,26.47,25.52,25.94,305800,25.94
2013-08-16,25.80,25.99,24.84,25.63,350800,25.63
2013-08-15,26.65,26.99,25.11,25.80,520000,25.80
2013-08-14,28.26,28.59,26.51,27.23,398300,27.23
2013-08-13,29.99,29.99,26.63,28.69,519000,28.69
2013-08-12,29.00,30.34,29.00,29.70,651100,29.70
2013-08-09,25.10,31.44,24.75,29.09,2303300,29.09
2013-08-08,21.10,25.36,21.07,24.73,10631800,24.73
